10248,12
10249,5
10250,4
10251,7
10252,2
10253,6
10254,12
10255,3
10256,2
10257,6
10258,6
10259,7
10260,10
10261,11
10262,3
10263,8
10264,30
10265,18
10266,5
10267,8
10268,3
10269,9
10270,1
10271,29
10272,4
10273,7
10274,10
10275,2
10276,6
10277,4
10278,4
10279,3
10280,29
10281,7
10282,6
10283,7
10284,8
10285,6
10286,9
10287,6
10288,11
10289,2
10290,7
10291,8
10292,5
10293,13
10294,6
10295,8
10296,8
10297,6
10298,6
10299,7
10300,9
10301,8
10302,29
10303,7
10304,5
10305,26
10306,7
10307,8
10308,6
10309,34
10310,7
10311,6
10312,10
10313,10
10314,9
10315,7
10316,11
10317,10
10318,3
10319,9
10320,15
10321,8
10322,19
10323,7
10324,2
10325,5
10326,4
10327,3
10328,3
10329,8
10330,12
10331,5
10332,4
10333,7
10334,7
10335,2
10336,2
10337,5
10338,4
10339,7
10340,10
10341,7
10342,5
10343,6
10344,4
10345,7
10346,3
10347,2
10348,8
10349,7
10350,22
10351,9
10352,6
10353,12
10354,6
10355,5
10356,9
10357,13
10358,7
10359,5
10360,10
10361,11
10362,3
10363,8
10364,8
10365,5
10366,32
10367,4
10368,3
10369,7
10370,24
10371,21
10372,5
10373,6
10374,4
10375,3
10376,4
10377,4
10378,9
10379,2
10380,35
10381,1
10382,3
10383,2
10384,4
10385,6
10386,7
10387,2
10388,1
10389,4
10390,3
10391,8
10392,8
10393,9
10394,9
10395,8
10396,10
10397,6
10398,10
10399,8
10400,15
10401,9
10402,8
10403,6
10404,5
10405,16
10406,6
10407,23
10408,6
10409,5
10410,5
10411,11
10412,2
10413,2
10414,3
10415,9
10416,11
10417,12
10418,7
10419,10
10420,6
10421,6
10422,9
10423,32
10424,4
10425,21
10426,10
10427,35
10428,7
10429,9
10430,4
10431,8
10432,7
10433,29
10434,10
10435,3
10436,6
10437,7
10438,8
10439,3
10440,18
10441,32
10442,7
10443,2
10444,9
10445,7
10446,5
10447,21
10448,7
10449,9
10450,20
10451,21
10452,6
10453,5
10454,4
10455,7
10456,3
10457,6
10458,6
10459,1
10460,3
10461,5
10462,15
10463,2
10464,10
10465,9
10466,7
10467,5
10468,5
10469,4
10470,3
10471,7
10472,7
10473,8
10474,8
10475,21
10476,7
10477,8
10478,8
10479,2
10480,4
10481,5
10482,20
10483,32
10484,8
10485,6
10486,7
10487,2
10488,6
10489,12
10490,3
10491,8
10492,10
10493,8
10494,7
10495,8
10496,3
10497,3
10498,4
10499,8
10500,8
10501,7
10502,19
10503,5
10504,7
10505,7
10506,17
10507,7
10508,27
10509,12
10510,10
10511,3
10512,3
10513,6
10514,24
10515,30
10516,7
10517,5
10518,10
10519,3
10520,2
10521,3
10522,6
10523,29
10524,6
10525,21
10526,10
10527,2
10528,3
10529,2
10530,4
10531,11
10532,3
10533,10
10534,2
10535,8
10536,23
10537,5
10538,1
10539,7
10540,25
10541,10
10542,6
10543,2
10544,9
10545,35
10546,4
10547,10
10548,7
10549,3
10550,9
10551,9
10552,7
10553,4
10554,6
10555,2
10556,10
10557,3
10558,6
10559,8
10560,3
10561,3
10562,3
10563,14
10564,6
10565,7
10566,6
10567,5
10568,26
10569,25
10570,2
10571,17
10572,7
10573,1
10574,11
10575,10
10576,7
10577,7
10578,31
10579,9
10580,5
10581,6
10582,17
10583,4
10584,4
10585,9
10586,7
10587,7
10588,7
10589,10
10590,7
10591,9
10592,8
10593,35
10594,7
10595,4
10596,32
10597,7
10598,4
10599,6
10600,5
10601,6
10602,5
10603,21
10604,11
10605,8
10606,9
10607,3
10608,9
10609,6
10610,12
10611,7
10612,4
10613,3
10614,3
10615,7
10616,5
10617,4
10618,7
10619,3
10620,9
10621,6
10622,5
10623,5
10624,12
10625,6
10626,9
10627,10
10628,8
10629,8
10630,6
10631,1
10632,5
10633,3
10634,6
10635,3
10636,7
10637,7
10638,12
10639,7
10640,7
10641,4
10642,14
10643,8
10644,7
10645,7
10646,7
10647,7
10648,12
10649,1
10650,5
10651,10
10652,7
10653,17
10654,9
10655,8
10656,6
10657,11
10658,3
10659,5
10660,37
10661,6
10662,9
10663,23
10664,9
10665,6
10666,10
10667,7
10668,8
10669,7
